Question,Answer,Tags
What do RTO and RPO stand for?,"Recovery Time Objective - The amount of time that it takes for your business to recover from an outage.
Recovery Point Objective - Maximum period of time in which data might be lost from an IT service due to a major incident.",High Availability & Business Continuity
What are the four types of disaster recovery models? (List them from high RTO/RPO to low and describe them),"1. Backup and Restore
2. Pilot Light
3. Warm Standby
4. Multi Site",High Availability & Business Continuity
What are the key AWS backup technologies and what are their key disaster recovery features?,"S3 - 11 9's (9 decimal places of 9's)
Glacier - Cheap, high durability, slow recovery
EBS - Point-in-time snapshots
DynamoDB - Cross region replication
RDS - snapshot data from one region to another, read replica running in another region
Redshift - snapshot data to S3 within same region or copy it to another region",High Availability & Business Continuity
"If Multi-AZ is enabled on your database and you create a read replica, from which AZ will it take a snapshot?",It normally would use the primary DB and cause some downtime. If Multi AZ is enabled though it will take a snapshot of the secondary DB.,High Availability & Business Continuity
In what situation would you want to promote a read replica to its own standalone DB?,A good example is an ecommerce site that wants to open up a shop in a new region. Maybe they want to start a new DB with the same products but will delete all user data so that the new DB only has users from the new region.,High Availability & Business Continuity
What is a multi-region read replica and why is it useful?,"Improve disaster recover
Scale reads to users in a region closer to them
Make it easer to migrate data centers from region to region",High Availability & Business Continuity
How many read replicas can DB instances have?,Up to 5,High Availability & Business Continuity
Which two DBs don't support read replicas in different regions?,SQL Server and Oracle,High Availability & Business Continuity
Is read replica replication synchronous or asynchronous?,Async only,High Availability & Business Continuity
Can you have read replicas of read replicas?,Yes (probably only for MySQL) and it will further increase latency,High Availability & Business Continuity
Can DB snapshots and automated backups be taken from read replicas?,NO,High Availability & Business Continuity
True or False: Read replicas can be created from multi-AZ DBs but cannot be multi-AZ themselves.,TRUE,High Availability & Business Continuity
Is Multi-AZ replication synchronous or asynchronous?,Synchronous,High Availability & Business Continuity
"If your app doesn't require transaction support, ACID compliance, joins, or SQL, what should you use instead of RDS?",DynamoDB,High Availability & Business Continuity
Archive retrieval from Glacier takes how long?,3 or more hours,High Availability & Business Continuity
